,subject,parameter,value,ID
91367,18,$\beta$,0.8912787681235467,01344
91368,19,$\beta$,2.482898948503212,01351
91369,20,$\beta$,2.4064769092226364,01354
91370,21,$\beta$,2.0809901545394034,01355
91371,22,$\beta$,3.020731525857149,01356
91372,23,$\beta$,2.0524732304112003,01357
91373,24,$\beta$,2.329957137848985,01358
91374,25,$\beta$,2.5277652700248296,01362
91375,26,$\beta$,1.8291469470773167,01379
91376,27,$\beta$,3.0195801479110846,01390
91377,28,$\beta$,1.7462565365439473,01443
91378,29,$\beta$,2.524177585212878,01449
91379,30,$\beta$,2.1128729383558165,01456
91380,31,$\beta$,2.132156356402974,01457
91381,32,$\beta$,2.7036752149047993,01460
91382,33,$\beta$,1.8304373936008709,01510
91383,34,$\beta$,2.173406303476944,01549
91384,35,$\beta$,1.7700735157001621,01559
91385,36,$\beta$,2.2639259796321665,01560
91386,37,$\beta$,2.0834952174357064,01614
91387,38,$\beta$,2.5083547758124287,01619
91388,39,$\beta$,2.234648096756335,01622
91389,40,$\beta$,1.629665096223943,01630
91390,41,$\beta$,2.067086651266758,01646
91391,42,$\beta$,1.7969037662875664,01647
91392,43,$\beta$,2.1435199712435504,01725
91393,44,$\beta$,1.4859435777304,01840
91394,45,$\beta$,1.4967628799779402,01861
91395,1,$\beta$,2.233565746698695,00390
91396,2,$\beta$,1.7535450605232128,00513
91397,3,$\beta$,1.9184352523214077,01101
91398,4,$\beta$,2.564646726557729,01102
91399,5,$\beta$,1.2003582077650374,01104
91400,6,$\beta$,1.8605146184608257,01118
91401,7,$\beta$,2.161776398076798,01129
91402,8,$\beta$,2.5872458935151754,01261
91403,9,$\beta$,1.893857449024216,01268
91404,10,$\beta$,3.047168718871722,01271
91405,11,$\beta$,1.2001108955273956,01272
91406,12,$\beta$,1.0531962535146009,01281
91407,13,$\beta$,2.5637772258138187,01293
91408,14,$\beta$,1.3230360471298401,01323
91409,15,$\beta$,2.5002124209863568,01332
91410,16,$\beta$,2.291825003510412,01334
91411,17,$\beta$,2.387498800968758,01335
91412,18,$\beta$,0.8854467760586959,01344
91413,19,$\beta$,2.582645992032316,01351
91414,20,$\beta$,2.483279021842047,01354
91415,21,$\beta$,2.293533182467913,01355
91416,22,$\beta$,3.6260676199571007,01356
91417,23,$\beta$,2.319452402251696,01357
91418,24,$\beta$,2.4878557123615206,01358
91419,25,$\beta$,2.188968824010608,01362
91420,26,$\beta$,2.1825069342761694,01379
91421,27,$\beta$,2.7308086744728786,01390
91422,28,$\beta$,2.016626426160026,01443
91423,29,$\beta$,2.4059442424177204,01449
91424,30,$\beta$,1.6981557406979066,01456
91425,31,$\beta$,1.7376214159076828,01457
91426,32,$\beta$,2.4457468311945334,01460
91427,33,$\beta$,2.1393253807405683,01510
91428,34,$\beta$,2.349862802556681,01549
91429,35,$\beta$,1.9786447635909694,01559
91430,36,$\beta$,2.413112552862231,01560
91431,37,$\beta$,1.7601227545212688,01614
91432,38,$\beta$,1.9823087803737263,01619
91433,39,$\beta$,2.011647275665169,01622
91434,40,$\beta$,1.5532102051479724,01630
91435,41,$\beta$,2.264651131069921,01646
91436,42,$\beta$,1.4579155251484561,01647
91437,43,$\beta$,2.083205387490255,01725
91438,44,$\beta$,1.5184984077998922,01840
91439,45,$\beta$,1.3166111967752387,01861
91440,1,$\beta$,2.183983016291881,00390
91441,2,$\beta$,1.8937446825637871,00513
91442,3,$\beta$,1.4484918135174265,01101
91443,4,$\beta$,3.182014012952304,01102
