,$\tilde{\beta}$,$\theta$
79,8.25428581237793,5.437356948852539
80,11.157843589782715,7.146334648132324
81,6.697652816772461,6.081833362579346
82,9.931097030639648,5.989580154418945
83,7.533547401428223,8.58066463470459
84,5.903160095214844,6.483602523803711
85,6.8893537521362305,6.992330074310303
86,7.133410930633545,6.198283672332764
87,8.3768892288208,6.243871688842773
88,6.50043249130249,6.7016730308532715
89,9.343393325805664,8.466901779174805
90,6.877917289733887,7.096041202545166
91,8.034048080444336,7.059232234954834
92,9.499720573425293,5.75969934463501
93,6.923779487609863,6.54238224029541
94,7.770610809326172,7.449230670928955
95,8.074966430664062,8.308428764343262
96,6.632578372955322,8.047106742858887
97,8.39157772064209,7.4193925857543945
98,8.78078842163086,6.079854965209961
99,7.236891746520996,7.560103416442871
100,11.590836524963379,5.851288318634033
101,8.409161567687988,8.155197143554688
102,6.232443809509277,5.985404014587402
103,10.383574485778809,7.561258792877197
104,8.222323417663574,7.048268795013428
105,6.9688591957092285,6.883304595947266
106,7.800437927246094,6.002154350280762
107,5.807037830352783,5.197585105895996
108,9.642213821411133,4.705851078033447
109,9.320782661437988,5.6661787033081055
110,5.94276762008667,5.012189865112305
111,8.805068969726562,7.159712791442871
112,7.364789962768555,5.826636791229248
113,7.288327693939209,6.607424736022949
114,7.8198747634887695,6.199376583099365
115,7.4285383224487305,6.271852970123291
116,8.099811553955078,6.922770023345947
117,9.342107772827148,5.781036376953125
118,7.431107044219971,8.599538803100586
119,7.555389404296875,6.6696953773498535
120,7.072103023529053,7.218036651611328
121,8.427141189575195,6.886773109436035
122,8.065542221069336,7.9939351081848145
123,8.53094482421875,8.862401008605957
124,6.951550483703613,5.805062770843506
125,5.6672587394714355,5.334323883056641
126,11.13314437866211,7.939011573791504
127,9.143417358398438,5.1555562019348145
128,8.657015800476074,6.420251846313477
129,6.176124572753906,6.496374130249023
130,5.823641777038574,6.174953460693359
131,6.3272385597229,5.899975776672363
132,8.401362419128418,5.936226844787598
133,8.762572288513184,4.737895488739014
134,6.40306282043457,7.269535541534424
135,7.528539657592773,6.256301403045654
136,7.5173258781433105,8.339101791381836
137,7.069920063018799,6.062211036682129
138,9.512100219726562,6.360472679138184
139,8.163252830505371,8.123138427734375
140,7.457915306091309,8.138279914855957
141,8.395423889160156,7.1118927001953125
142,6.931705951690674,6.940780162811279
143,7.58665132522583,7.470710754394531
144,6.041308879852295,6.13386344909668
145,6.2578535079956055,8.518178939819336
146,6.899794578552246,10.112092018127441
147,7.463964939117432,5.746061325073242
148,6.66171407699585,10.14853572845459
149,6.17701530456543,8.827715873718262
150,8.57106876373291,6.337351322174072
151,6.80055570602417,8.26910400390625
152,8.31971549987793,5.546205520629883
153,7.66853666305542,6.275826454162598
154,7.676217555999756,7.93104887008667
155,9.563321113586426,7.150994300842285
156,4.896491050720215,7.246073246002197
157,7.908031940460205,11.92391300201416
158,9.681819915771484,5.730471134185791
159,10.401695251464844,7.320044040679932
160,7.163497447967529,6.25554895401001
161,10.576098442077637,6.542076110839844
162,9.112744331359863,6.350526809692383
163,9.032941818237305,6.043262481689453
164,9.891818046569824,7.597890377044678
165,5.497021198272705,5.993534088134766
166,5.29312801361084,6.664419651031494
167,8.775018692016602,7.580760478973389
168,5.689307689666748,6.013625621795654
169,9.692734718322754,6.691715240478516
170,8.314955711364746,5.655808448791504
171,8.376035690307617,6.716898441314697
172,8.342680931091309,7.379985332489014
173,9.022107124328613,5.534713268280029
174,8.067946434020996,8.283980369567871
175,7.659399032592773,9.48097038269043
176,5.376623630523682,6.379795551300049
177,10.52863883972168,7.647109508514404
178,8.229192733764648,8.835929870605469
179,8.038596153259277,7.374955654144287
180,7.735703945159912,7.127833843231201
181,8.158435821533203,7.637052059173584
182,6.906558036804199,5.498185157775879
183,8.881897926330566,6.092484474182129
184,6.311079502105713,8.431315422058105
185,7.812722206115723,6.802046775817871
186,7.379815578460693,7.698282718658447
187,9.25980281829834,8.199084281921387
188,6.526665210723877,6.195176601409912
189,7.520766258239746,5.277627944946289
190,7.1473493576049805,6.7192277908325195
191,9.249185562133789,8.646453857421875
192,7.01010799407959,7.473361492156982
193,7.132100582122803,5.879043102264404
194,6.185640811920166,8.731897354125977
195,7.979145526885986,7.0219645500183105
196,8.433162689208984,7.073113441467285
197,8.213014602661133,7.9909491539001465
198,6.591773986816406,8.970890998840332
199,6.544632911682129,6.107146739959717
200,7.988419532775879,8.712345123291016
201,6.618107795715332,6.294559955596924
202,5.890951156616211,6.762327671051025
203,6.496962547302246,9.387598037719727
204,9.766531944274902,7.658677577972412
205,8.997946739196777,6.825911998748779
206,8.04616641998291,8.564573287963867
207,9.560489654541016,6.237381458282471
208,10.571557998657227,7.391011714935303
