,$\tilde{\beta}$,$\theta$
113,3.9383797645568848,6.092164993286133
114,4.717367172241211,4.525527000427246
115,4.387162685394287,6.045370578765869
116,3.623091459274292,4.713625907897949
117,5.476794242858887,6.994843482971191
118,3.0642993450164795,8.92276382446289
119,4.549148082733154,3.7771706581115723
120,3.72934889793396,7.59955358505249
121,5.042072296142578,6.971437454223633
122,3.5234122276306152,5.513616561889648
123,4.067744731903076,6.910445213317871
124,3.2762598991394043,5.111210346221924
125,3.3157923221588135,7.396919250488281
126,3.811086654663086,6.882166385650635
127,3.972522258758545,4.612083911895752
128,3.3833677768707275,4.690174579620361
129,4.458393096923828,5.951339244842529
130,3.1223020553588867,5.65427827835083
131,3.552211046218872,4.724185943603516
132,5.317039489746094,4.632725238800049
133,3.680286407470703,6.793609142303467
134,3.7906906604766846,5.3461527824401855
135,4.548882484436035,6.313410758972168
136,4.069117546081543,5.9672465324401855
137,2.3348846435546875,6.440186023712158
138,2.9667348861694336,4.641129493713379
139,4.413901329040527,5.482651233673096
140,6.655562400817871,6.46504545211792
141,5.483855247497559,7.303933143615723
142,3.40578293800354,4.814344882965088
143,3.348803997039795,5.4441237449646
144,4.555753231048584,5.442331314086914
145,3.7167563438415527,7.251047134399414
146,4.159704208374023,5.112329006195068
147,6.538055896759033,4.3531107902526855
148,4.2773542404174805,10.008920669555664
149,5.0177226066589355,5.506569862365723
150,3.9519925117492676,6.437099456787109
151,3.3194193840026855,5.913375377655029
152,4.57036828994751,5.040168285369873
153,4.517432689666748,4.532626152038574
154,4.241034507751465,4.727078437805176
155,6.006931304931641,5.551575660705566
156,4.578527450561523,7.348672866821289
157,4.091963768005371,8.393427848815918
158,4.785189628601074,4.144518852233887
159,4.149869441986084,5.421046733856201
160,4.254241466522217,6.968660831451416
161,3.349057197570801,5.416985034942627
162,3.6113088130950928,4.260434627532959
163,5.549267768859863,8.920647621154785
164,3.4440088272094727,7.124756813049316
165,3.4070730209350586,4.137336730957031
166,3.394193410873413,4.895912170410156
167,4.256973743438721,7.353855133056641
168,3.9128072261810303,4.337042331695557
169,3.901183843612671,6.743275165557861
170,3.691998243331909,6.914422035217285
171,3.9853289127349854,5.70957088470459
172,4.552596092224121,4.775363445281982
173,2.8237860202789307,6.827902317047119
174,3.5046491622924805,4.910607814788818
175,3.4378035068511963,4.7699689865112305
176,3.171621561050415,4.321157932281494
177,4.355231761932373,8.4160737991333
178,3.980116367340088,6.6349873542785645
179,3.954167366027832,6.664755821228027
180,3.9046835899353027,6.346489429473877
181,3.8827829360961914,5.308125019073486
182,3.7241930961608887,4.915318965911865
183,5.174750804901123,5.985228061676025
184,3.3064277172088623,4.978044033050537
185,3.417731285095215,6.606256484985352
186,3.4369614124298096,9.495957374572754
187,4.349257469177246,7.396310806274414
188,3.0207178592681885,6.392175197601318
189,2.489835500717163,5.279415607452393
190,3.387968063354492,5.222628593444824
191,4.25097131729126,6.696420669555664
